Titre;Artiste;Label;Time;Event;Annee_Sortie;Longueur;Genre;Distributeur;Nombre_Pistes;Reedition
BE (DELUXE EDITION);BTS;SONY MUSIC/MEMBRAN;2;1;2020;00:28:30;K-pop;Sony music entertainment;8;0
ALL I KNOW SO FAR: SETLIST;P!NK;RCA GROUP / RCA RECORDS LABEL;2;1;2021;01:09:00;Pop rock;Sony music entertainment;16;0
CALIENTE;TIMAL;ELEKTRA FRANCE;46;1;2020;01:43:00;Rap français;Warner music france;34;1
VIBE;FRANGLISH;CAPITOL MUSIC FRANCE / CAPITOL;12;1;2021;00:54:55;Rap français;Universal music france;18;0
FAME;LEFA;2L MUSIC;12;1;2019;01:23:00;Rap français;Sony music entertainment;29;1
SUNSET IN THE BLUE;MELODY GARDOT;DECCA RECORDS FRANCE / DECCA;2;1;2020;01:18:40;Jazz;Universal music france;18;1
LES VIEILLES CANAILLES : L'ALBUM LIVE;JACQUES DUTRONC, JOHNNY HALLYDAY, EDDY MITCHELL;PARLOPHONE;2;1;2019;01:52:19;Rock;Warner music france;24;0
HISTOIRES DE;MYLENE FARMER;STUFFED MONKEY;2;1;2020;03:53:00;Variété française;Sony music entertainment;52;0
TEATRO D'IRA - VOL. I;MÃ…NESKIN;RCA GROUP / RCA RECORDS LABEL;2;1;2021;00:29:03;Hard rock;Sony music entertainment;8;0
DREAMLAND;GLASS ANIMALS;VIRGIN RECORDS FRANCE / UNIVERSAL MUSIC;20;1;2020;01:26:00;Pop;Universal music france;29;1
REVER;KEEN'V;PARLOPHONE;2;1;2021;01:20:31;Variété française;Warner music france;27;1
SUR ECOUTE;FRESH LADOUILLE;ELEKTRA FRANCE;5;1;2021;00:33:18;Rap français;Warner music france;11;0
TACITURNE;DINOS;CAPITOL MUSIC FRANCE / SPKTAQLR;5;1;2019;01:29:00;Rap français;Universal music france;30;1
VRAI 2 VRAI;DA UZI;REC. 118 / VRAI2VRAI;5;1;2021;00:50:37;Rap français;Warner music france;17;0
MY SONGS;STING;POLYDOR / A & M;4;1;2019;01:18:00;Pop rock;Universal music france;19;1
LES RARETES WARNER (2CD DIGIPACK);JOHNNY HALLYDAY;CATALOGUE MARKETING CLASSIQUE / WARNER;2;1;2021;02:17:00;Rock;Warner music france;36;0
QUEEN;EVA;MCA / ALDAM PRODUCTION;7;1;2019;01:06:00;R&B;Universal music france;23;1
JOK'TRAVOLTA;JOK'AIR;PLAY TWO;12;1;2019;02:28:00;Rap français;Warner music france;35;1
EUPHORIA (ORIGINAL SCORE FROM THE HBO SERIES);LABRINTH;SONY MUSIC CLASSIQUE ET JAZZ / MILAN;17;1;2019;01:03:00;Gospel;Sony music entertainment;26;0
PARADISE;HAMZA;REC118 / REC. 118;3;1;2019;01:23:00;R&B;Warner music france;25;1
EXOTICA;PURPLE DISCO MACHINE;RCA GROUP / COLUMBIA LOCAL;2;1;2021;02:29:00;Dance;Sony music entertainment;28;1
GEOGRAPHIE DU VIDE;HUBERT-FELIX THIEFAINE;COLUMBIA;3;1;2021;00:51:56;Rock;Sony music entertainment;12;0
EN PASSANT PECHO (BANDE ORIGINALE INSPIREE DU FILM);KORE;RCA GROUP / AWA/RCA;3;1;2021;01:03:00;Rap français;Sony music entertainment;23;0
ALLER-RETOUR;BON ENTENDEUR;COLUMBIA;11;1;2021;01:02:00;Ambient;Sony music entertainment;18;0
LUNDI MECHANT;GAEL FAYE;BELIEVE / EXCUSE MY FRENCH / ALLPOINTS;3;1;2020;00:52:40;Variété française;Believe;15;0
SYNKINISI;BOSH;ARISTA / ARISTA FRANCE;2;1;2020;01:15:00;Rap français;Sony music entertainment;29;1
NOS VIES (REEDITION);IMEN ES;ISLAND DEF JAM / BENDO / FULGU PROD;4;1;2020;01:37:00;Pop urbaine;Universal music france;29;1
